0	0
0.01	-5.00024e-05
0.02	-0.000200024
0.03	-0.00045011
0.04	-0.000800334
0.05	-0.0012508
0.06	-0.00180165
0.07	-0.00245304
0.08	-0.00320517
0.09	-0.00405826
0.1	-0.00501258
0.11	-0.00606841
0.12	-0.00722608
0.13	-0.00848593
0.14	-0.00984835
0.15	-0.0113138
0.16	-0.0128826
0.17	-0.0145554
0.18	-0.0163326
0.19	-0.0182148
0.2	-0.0202025
0.21	-0.0222965
0.22	-0.0244973
0.23	-0.0268057
0.24	-0.0292224
0.25	-0.0317481
0.26	-0.0343838
0.27	-0.0371301
0.28	-0.0399881
0.29	-0.0429586
0.3	-0.0460427
0.31	-0.0492414
0.32	-0.0525557
0.33	-0.0559867
0.34	-0.0595357
0.35	-0.0632038
0.36	-0.0669924
0.37	-0.0709026
0.38	-0.0749364
0.39	-0.0790947
0.4	-0.0833791
0.41	-0.0877912
0.42	-0.0923324
0.43	-0.0970045
0.44	-0.101809
0.45	-0.106749
0.46	-0.111824
0.47	-0.117038
0.48	-0.122392
0.49	-0.127889
0.5	-0.13353
0.51	-0.139319
0.52	-0.145256
0.53	-0.151346
0.54	-0.15759
0.55	-0.163991
0.56	-0.170551
0.57	-0.177275
0.58	-0.184164
0.59	-0.191222
0.6	-0.198452
0.61	-0.205858
0.62	-0.213443
0.63	-0.22121
0.64	-0.229164
0.65	-0.237309
0.66	-0.245648
0.67	-0.254187
0.68	-0.262929
0.69	-0.271879
0.7	-0.281043
0.71	-0.290425
0.72	-0.300031
0.73	-0.309866
0.74	-0.319937
0.75	-0.33025
0.76	-0.34081
0.77	-0.351626
0.78	-0.362703
0.79	-0.37405
0.8	-0.385674
0.81	-0.397584
0.82	-0.409788
0.83	-0.422295
0.84	-0.435115
0.85	-0.448259
0.86	-0.461736
0.87	-0.475558
0.88	-0.489737
0.89	-0.504286
0.9	-0.519217
0.91	-0.534546
0.92	-0.550286
0.93	-0.566455
0.94	-0.583068
0.95	-0.600145
0.96	-0.617704
0.97	-0.635765
0.98	-0.654351
0.99	-0.673486
1	-0.693193
